CID	Problem	Solution	Image URL	Image Summary
3	Project synopsis :- In many places, many goods are stolen from the grid like Copper plates, wires, aluminium and these goods are very expensive due to which there is a lot of loss. Dispute there has been a 24 hour security guard there, but theft happens because one security guard cannot Guard everywhere . Every item like Copper plates, wires etc are expensive and sometimes electricity is also stolen.	"We developed a system in which we will place mirrors in such a way that they can reflect the light and also place a laser light at one corner and also place a receiver in which there is an alarm which sounds when light is not received . 
 
 Because one security guard cannot Guard everywhere so, when we plays this system automatically when someone come inside from some other ways the alarm will sound and guard been alert .(https://youtu.be/gKJiCGNaAwg?si=xMmwyxQNDkwS7kD5)"	https://drive.google.com/uc?export=download&id=1Xa-_KlHb9tyFLNcFXRKQ4KylVf5kGa4c	• The image shows an experimental setup featuring an Arduino microcontroller board and wiring, illuminated by colored light. • It appears to be a student-made proof-of-concept (POC) prototype. • The student is attempting to demonstrate the electronic control unit of their laser-based security system. • The image is blurry and low-quality, making it difficult to clearly identify the laser or mirror components mentioned in the solution, though it confirms the use of electronic hardware for the project.
12	"The ""Bus Safety System: Protecting Kids & Pedestrians"" is an innovative solution designed to enhance safety around buses, particularly for children and other pedestrians who might be at risk when a bus is stationary. This system addresses a critical safety issue: when a bus is stopped, children or pedestrians may walk in front of the bus, potentially putting themselves in danger if the driver cannot see them. Our system utilizes simple yet effective technology to prevent such accidents and ensure a safer environment.
 Problem Statement
 When a bus stops, especially in areas where visibility is limited, children might walk in front of the bus without the driver's knowledge. This can lead to dangerous situations where the bus might accidentally move forward, potentially causing accidents. To address this problem, a reliable and responsive safety system is needed to alert both the driver and the pedestrians."	"Our solution is the ""Bus Safety System: Protecting Kids & Pedestrians,"" which aims to enhance safety around stationary buses. It uses IR sensors mounted at the front of the bus to detect the presence of pedestrians. When a pedestrian is detected, the system activates a buzzer and a red visual light to alert the driver. Simultaneously, a playback module announces a pre-recorded message, ""Please move away from the front of the bus,"" to notify pedestrians. Additionally, the system integrates with the bus’s control to prevent movement if a pedestrian is detected. This solution helps children, pedestrians, and drivers by providing clear, immediate alerts and preventing accidents. It ensures that pedestrians are aware of their proximity to the bus and prevents the bus from moving until the area is clear, thereby addressing visibility issues and enhancing overall safety."	https://drive.google.com/uc?export=download&id=1-9OqbK2PLzzqFWfsWN26Dcu2YSi3IRC-	• The image shows a student demonstrating a POC model of a bus safety system on a miniature road setup. • The prototype features a toy bus equipped with electronic components, including sensors and wiring, clearly indicating a student-made project. • The student is conveying the practical application of their sensor-based safety system in a simulated environment. • The image effectively supports the stated solution by showing the integration of sensors on the vehicle to detect obstacles and trigger alerts.
30	sugarcane like crops are not easy to cut	We are making a project that can easily cut the sugarcane it helps farmers and it reduce the work load.	https://drive.google.com/uc?export=download&id=191j58_AEm7HcZddzF3iwHKU6sWFdq_LV	• The image shows a student-made cardboard prototype of a mechanical device. • It appears to be a conceptual model rather than a functional machine, likely representing a sugarcane harvester or cutting mechanism. • The student is conveying the structural design of their proposed solution using basic craft materials. • While the image demonstrates effort in conceptualizing a machine, it does not clearly show how the cutting mechanism would function or interact with sugarcane crops.
52	In some war there are some people who faces problem to kill the enemies fast by the missile truck	Our team are creating a special machine which can help soldiers to fight	https://drive.google.com/uc?export=download&id=1LZW_XZlh58_aVWJiheWNV5oZUB_hK1Rb	- The image shows two students standing behind a cardboard model of a truck. - It appears to be a student-made prototype constructed from craft materials. - The students are presenting their concept for a military vehicle intended to assist soldiers. - The image provides a basic physical representation of the vehicle but does not show any specific mechanisms or technology related to the stated problem of missile targeting or combat efficiency.
208	In hotels, hospitals, and other large facilities, drying clothes efficiently is essential due to the high volume of laundry processed daily. Typically, clothes are placed outside in the sun to dry, but sudden or unexpected rainfall leads to all of these clothes getting soaked again. This situation causes considerable inconvenience, as the entire drying process is disrupted, making it challenging to keep up with daily laundry demands. Additionally, staff are burdened with the task of constantly checking for rain and rushing to bring clothes inside, which wastes time and effort. This frequent issue results in inefficiency in laundry management, adding unnecessary delays and workload.	To address the stability and balance issues of conventional modes of transportation like bicycles and motorcycles, the development of self-balancing bikes offers a promising solution. Self-balancing bikes use advanced technologies to enhance stability and safety, making them more accessible and safer for inexperienced riders. Self-balancing bikes can use gyroscopes to detect and counteract tilts, helping to maintain balance automatically.	https://drive.google.com/uc?export=download&id=1FiTc2jhOjmKpd6lz4EwtDMC8DuwNYj42	- The image shows a student-made diorama of a house with a solar panel on the roof, powered by a power bank. - This appears to be a student-made POC model. - The student is attempting to demonstrate a smart home or automated system. - The image does not support the stated problem (laundry drying) or the stated solution (self-balancing bikes), as it depicts a stationary house model with no visible mechanisms related to either topic.
345	Natural Farming is a multilingual half yearly publication by National Centre for Organic an Natural Farming. Articles havindirect relevance Natural Farming technology and its regulatory mechanism, development of package of practices, success stories, news related to conferences, seminars etc.	"Natural Farming can be defined as “chemical- free farming and livestock based"". Soundly grounded in agro-ecology, it is a diversified farming system that integrates crops, trees and livestock, allowing the optimum use of functional biodiversity. Natural Farming holds the promise of enhancing farmers’ income while delivering many other benefits, such as restoration of soil fertility and environmental health, and mitigating and/or reducing greenhouse gas Substantial increase in input costs has led to decline in crop income over the years. The price of urea, DAP and potash has risen by60% - 600 % in last decade. Though, per hectare real value of output increased foremost crops in recent years, but the rise in input cost was much higher, resulting into reduced farm income. Moreover, green revolution technology is now contemplated to be degrading the agro-ecosystem: and diminishing the economic returns for the farmers. Several studies have shown that chemical fertilizer and pesticides ."	https://drive.google.com/uc?export=download&id=1mt94RO0pW0LrDV_mt3hoKalDJSrb_NlR	• The image shows a student-made diorama/model representing an integrated farming system. • It appears to be a school-level POC (Proof of Concept) using basic materials like paper, plastic cups, and miniature figures. • The student is conveying the concept of 'Natural Farming' by visually integrating crops, trees, a house, and water sources, aligning with their solution of a diversified, livestock-based farming system. • The model effectively illustrates the holistic nature of the proposed solution, though it is a conceptual representation rather than a technical prototype.
372	Nowadays thefts are very much in the society. They are robbering the homes, offices, banks etc. So controlling theft in the society.	Anti theft alram is a sensor based it detects the when theft is going to theft the materials in home iffice also in a banks.	https://drive.google.com/uc?export=download&id=1cERBmqaf7U20BQaq0IeTIHhpMPR5oFaW	- The image shows a small, student-made cardboard model of a house acting as a prototype for an anti-theft alarm system. - It appears to be a student-made proof-of-concept (POC) using basic materials. - The student is demonstrating the integration of a sensor or electronic component on the exterior of the model to represent the alarm mechanism. - The image provides a basic visual representation of the proposed solution, though the technical details of the sensor and alarm mechanism are not clearly visible.
713	Liquid waste can become especially challenging and hazardous when not handled effectively, as it can cause issues due to its ability to spread quickly and pollute large areas with minimal contact. Waste can occur in many forms and requires special methods of disposal to ensure safety and prevent contamination.in our socity water is polluted due to varies reason	"Root Zoning. Root zoning is a process that is used to handle liquid waste or wastewater from homes and businesses. ...
  Solidification. ...
  Composting. ...
  Sedimentation. ...
  De watering. ...
  Incineration."	https://drive.google.com/uc?export=download&id=1qFUzpMQ0ZT85VLM8W3knoYzsYAgdsvrR	• The image shows a student-made prototype consisting of plastic containers connected by tubing, likely representing a liquid filtration or treatment system. • It appears to be a student-made POC using household materials. • The student is demonstrating a physical setup for liquid waste treatment, possibly simulating filtration or sedimentation processes. • The image provides a basic visual representation of a multi-stage liquid handling system, which aligns with the proposed solution of managing wastewater, though the specific mechanism (e.g., root zoning) is not clearly visible.
752	Road light project	Road light project	https://drive.google.com/uc?export=download&id=1ibkknzirZszKxN3pEUkQaBEwtRVKWsg8	• The image shows a student presenting a physical prototype of a street light system mounted on a model road base. • It appears to be a student-made proof-of-concept (POC) using basic electronic components, wires, and a cardboard/plastic structure. • The student is demonstrating the physical integration of lighting components onto a simulated roadway. • The image provides a clear visual representation of the project's physical form, though it does not explicitly detail the automated functionality or logic behind the 'road light' system.
825	"Hydroponic farming can face a number of challenges, including: 
 High setup cost: Setting up a hydroponic system can be expensive, especially for large-scale systems. 
 Constant power supply: Hydroponic systems need electricity to run continuously. 
 Maintenance and monitoring: Growers need to be vigilant to avoid component failure. 
 Common problems: Some common problems include wilting, dead roots, system clogging, infestation, and nutrient deficiencies"	"Problem: Wilting
 
 It can be due to several factors such as less irrigation or high temperature, where the plant loses its rigidity, and leaves start drying.in our project automatic mobile controlled drip irrigation is used.this is managed from our house and controled thousands of hydroponic plants in one time .
 
  
 
 Solution: You should let your roots dry between each irrigation cycle. A backup pump should always be handy if the operating one gets fail because the plants can wilt quickly without water supply.
 
  
 
 Problem: Dead Roots
 
 There are many reasons for dead roots like high temperature of water, very high or very low EC, overwatering in dense substrates, and others. Dead roots can also be a sign of root rot pathogen infecting the system.
 
  
 
 Solution: First, you should remove the plants having dead roots and then regulate the water temperature accordingly to increase aeration. Regular cleaning and sanitization of the system can eliminate the pathogen."	https://drive.google.com/uc?export=download&id=1pWF3R1BX-la66uPGx051dNW_2hVLcHUl	- The image shows three students presenting a small-scale, DIY hydroponic prototype using plastic containers and tubing. - It appears to be a student-made POC (Proof of Concept) built with household materials. - The students are demonstrating a basic water circulation or irrigation setup, likely intended to illustrate their proposed drip irrigation concept. - The image provides a visual representation of a simplified hydroponic system, though it does not explicitly show the mobile-controlled automation or backup pump mechanisms mentioned in the solution.
876	Our school is facing drinking water scarcity since long.. Tape water is not available in the school.our school manages water by buckets or by tankers.. The Village in which school is located has been divided into three habitations or Mohlas Dodder Mohala,Khoja Mohlas And Raja Mohlas.. The School is located in Raja Mohla which is situated on High altitude as compared to the other two habitations or Mohlas.Two habitations among the three recieve frequent supply of tap water but the School habitation couldn't receive enough water to full fill the demand of water in the school.. Due this problem the inhabitants of the School habitation and School itself suffers a lot.	The village have about 10 natural water springs excreting pure crystal clear water continuously.The water flows 24×7 and gets wasted due to miss management.If that water is collected in a well constructed water bowl at spring site,then lifted through water pump and supplied to the school and inhabitants of school habitation.. water crisis in the school and school habitation will resolve for ever in the area.	https://drive.google.com/uc?export=download&id=1zGk2zzfGsObr34CiRTdVTNtDhGBgwdfy	• The image shows a student collecting water from a natural spring using a plastic bottle. • This appears to be a field observation/documentation of the existing water source rather than a prototype. • The student is conveying the availability of natural water springs in the area to support their proposed solution. • The image effectively illustrates the existence of the water source mentioned in the problem statement, providing visual evidence for the feasibility of their proposed collection and pumping system.
940	rajasthan main water ki kami hai	Drip Irrigation:- faldaal podho bagicho avm vraksho main pani dene ka sarvotam tarika hai. isse podho ko boond boond karke jal prapt hota hai	https://drive.google.com/uc?export=download&id=1MPPLxcvzjI0n7Xx0iziXcvncrXLf4lox	- The image is a hand-drawn diagram on paper explaining a drip irrigation system. - It is a student-made conceptual sketch rather than a physical prototype. - The student is illustrating the basic mechanism of how water travels from a source to plants to conserve water. - The sketch clearly supports the proposed solution by visually demonstrating the drip irrigation concept as a remedy for water scarcity.
950	This project may give solution to burning problem of drying clothes in rainy season. As iam hosteler I unable to dry my clothes in rainy season	"Rain sensor detects rain and sends signals to arduino
 Arduino activates relay module
 Relay module control Motor to close/open water resistant cover
 Clothes are protected form rain"	https://drive.google.com/uc?export=download&id=1ZIU8lf7xycM3sTsH6eHI8lpJOhDNLE9y	- Shows a student-made physical prototype of a house model featuring a clothesline setup. - The prototype appears to be a student-made POC using craft materials. - The student is demonstrating the functionality of the rain-sensing mechanism by using a water bottle to simulate rain. - The image clearly supports the stated problem and solution by visualizing how the automated system would protect clothes from rain exposure.
1827	मैं अभी एक हफ्ते के लिए मनाली टूर में फैमिली के साथ गया थाl इस टूर में हमारा आधे से ज्यादा सफर ट्रेन में हुआ, जिससे मैं ट्रेन में यह देखा कि सफर के दौरान हमारे रिजर्वेशन सीट के पास ही ट्रेन का टॉयलेट था जिसमें से गंदी बदबू आ रही थी जब मैं बाथरुम गया तब वहां देखा की टॉयलेट में बहुत ज्यादा गंदगी थी लोग टॉयलेट का उपयोग करके फ्लश(पानी का उपयोग ) किए बिना बाहर आ जाते थे जिसके कारण बदबू न केवल टॉयलेट में बल्कि पास की बोगी में भी होने लगा l	हमारी टीम ने इस समस्या को सुलझाने के लिए यहां एक आसान तरीका ढूंढा जिसमें हमने टॉयलेट के फ्लश को और टॉयलेट के दरवाजा को इस तरह से मैनेज किया की अगर व्यक्ति टॉयलेट को फ्लश किए बिना चला जाता है तो जैसे ही वह दरवाजा खोलेगा फ्लश ऑटोमेटिक ऑन हो जाएगा और फ्लश के कंप्लीट होने के कुछ सेंकड बाद दरवाजा वापस लॉक हो जाएगा l जिससे ट्रेन के सभी यात्रियों को टॉयलेट जाने में सुविधा होगी l	https://drive.google.com/uc?export=download&id=14DDtr8_lZRvGn_GeG9vL4-d0wCMaZwXI	• The image shows a physical cardboard model representing a train toilet setup. • It is a student-made prototype using craft materials like cardboard and colored paper. • The student is conveying the physical layout of the proposed automated flushing system integrated with the door mechanism. • The image provides a basic visual representation of the concept but does not demonstrate the functional electronic or mechanical components of the proposed solution.
2428	हमारी समस्या यह है कि कई बार लोगों के घर में सिलेंडर खत्म हो जाता है तो और उस वक्त दूसरे घर से लाने में दिक्कत होती है इस विषय पर है।	इस समस्या का सुझाव हमने बहुत अच्छी तरीके से की है। हमारी टीम ने सिलेंडर के ऊपर एक मीटर लगाया है। उस मीटर से पता चलता रहे की सिलेंडर के अंदर कितनी गैस बाकी है इससे बहुत सारे घरों के अंदर मदद भी होगी मदद इसलिए होगी कि जब उनके के घर में सिलेंडर खत्म होने वाला होगा तो वह लोग पहले से ही एक सिलेंडर खरीद लेंगे।अतः यह हमारी समस्या का सुझाव है।	https://drive.google.com/uc?export=download&id=1LSreaaYr0b8xgGBnaQ4PURf4yM2KiU3p	• The image shows a digital sketch or drawing on a smartboard depicting an LPG cylinder with a gauge attached to the top. • This is a student-made conceptual diagram rather than a physical prototype. • The student is illustrating the proposed mechanism for monitoring gas levels to prevent unexpected depletion. • The image provides a basic visual representation of the intended innovation but lacks technical details regarding how the sensor or meter would function.
2535	पौधों को पानी देने के लिए कुशल और विश्वसनीय प्रणालियों की कमी से या तो ज़रूरत से ज़्यादा पानी या कम पानी मिल सकता है, जो पौधों के स्वास्थ्य, विकास और उपज पर प्रतिकूल प्रभाव डालता है। सौर पैनलों द्वारा संचालित नमी सेंसर एक समाधान प्रदान कर सकते हैं, लेकिन उनके कार्यान्वयन में चुनौतियाँ उनकी प्रभावशीलता और विश्वसनीयता को सीमित कर सकती हैं। पारंपरिक सिंचाई विधियों पर निर्भरता अक्सर कृषि और बागवानी में अकुशल जल उपयोग की ओर ले जाती है, जिसके परिणामस्वरूप पौधों को ज़रूरत से ज़्यादा पानी या कम पानी मिल पाता है। जबकि सौर पैनलों द्वारा संचालित नमी सेंसर वास्तविक समय की मिट्टी की नमी के स्तर के आधार पर पानी देने को स्वचालित करने के लिए एक आशाजनक समाधान प्रदान करते हैं, कई चुनौतियाँ उनकी प्रभावशीलता में बाधा डालती हैं। इन चुनौतियों में असंगत सौर ऊर्जा आपूर्ति, अंशांकन समस्याएँ, तकनीकी विफलताएँ और उपयोगकर्ता की समझ की कमी शामिल है। नतीजतन, इसका परिणाम पौधों के खराब स्वास्थ्य, संसाधन की बर्बादी, आर्थिक नुकसान और पर्यावरण क्षरण होता है। विश्वसनीयता और दक्षता को बढ़ाने की सख्त ज़रूरत है।	"प्रस्तावित समाधान एक एकीकृत सौर-संचालित नमी सेंसर सिंचाई प्रणाली है जो वास्तविक समय की मिट्टी की नमी के स्तर के आधार पर पानी देने की प्रक्रिया को स्वचालित करती है। यह प्रणाली उन्नत नमी सेंसर, कुशल सौर पैनल और स्मार्ट सिंचाई तकनीकों को जोड़ती है ताकि संसाधनों की बर्बादी को कम करते हुए इष्टतम संयंत्र जलयोजन सुनिश्चित किया जा सके।
 यह कैसे काम करता है...1. नमी सेंसर: - स्थापना: नमी की मात्रा को सटीक रूप से मापने के लिए मिट्टी में विभिन्न गहराई पर नमी सेंसर लगाए जाते हैं।
 2. सौर ऊर्जा आपूर्ति: - सौर पैनल। उच्च दक्षता वाले सौर पैनल नमी सेंसर और सिंचाई प्रणाली को शक्ति प्रदान करते हैं। वे सूर्य के प्रकाश के संपर्क को अधिकतम करने के लिए तैनात किए जाते हैं, जिससे विश्वसनीय ऊर्जा उत्पादन सुनिश्चित होता है। - ऊर्जा भंडारण: एक रिचार्जेबल बैटरी दिन के दौरान उत्पन्न अतिरिक्त ऊर्जा को बादल मौसम या रात के समय सिस्टम को शक्ति प्रदान करने के लिए संग्रहीत करती है।3. डेटा प्रोसेसिंग और सिंचाई नियंत्रण: 4, उपयोगकर्ता इंटरफ़ेस
 ,यह किसकी मदद करता है
 1. किसान और कृषि श्रमिक:
 2. माली और बागवानी विशेषज्ञ
 3, शहर"	https://drive.google.com/uc?export=download&id=1dDjlkaQVCFOCl1lcS125zI1MHjQT2Ke-	- The image shows a student-made prototype of an automated irrigation system. - It features an Arduino microcontroller connected to a soil moisture sensor inserted into a small pot of soil. - The setup includes a relay module, jumper wires, and a water container, indicating a functional proof-of-concept. - The student is demonstrating the core logic of the proposed solution: sensing soil moisture levels to trigger a potential irrigation mechanism. - The image directly supports the stated solution by showing the integration of sensors and controllers, though solar components are not visible in this specific view.
2539	शहर में कई लोग ट्रैफिक सिग्नल के पास बिना सिग्नल के ही चले जाते हैं जिससे दुर्घटना होने की आशंका रहती है इसके लिए हमने स्मार्ट ट्रैफिक सिस्टम बनाया है जो एक ही सिग्नल को ही जाने देता है उसके बाद बाकी सिग्नल बंद हो जाता है जिससे घटना होने की संभावना बहुत कम हो जाती है	स्मार्ट ट्रैफिक सिस्टम में अगर सिग्नल बाय साइड की और है तो वह ऑटोमेटिक बाकी सभी रास्तों को गेट के द्वारा बंद कर देता है जिससे कोई भी गाड़ी सवार व्यक्ति बिना सिग्नल के रास्ता पार नहीं कर सकता है जिससे सिग्नल पर होने वाले घटनाएं को बहुत ही काम किया जा सकता है क्योंकि एक ही साइड से वाहनों का जाना हो सकता है जिससे उनके टकराने की संभावना बहुत ही काम हो जाएगी और सड़क में होने वाली घटनाओं को कम किया जा सकता है जिससे मनुष्य की जनहानि बहुत कम होगी यह मनुष्य के लिए बहुत लाभदायक है खासकर वाहन चलाने वालों के लिए यह हमारे प्रोजेक्ट का एक आइडिया है जिसे हमने प्रोटोटाइप के रूप में बनाया है यह ट्रैफिक संबंधित होने वाली दुर्घटनाओं को बहुत काम कर देता है यही स्मार्ट ट्रैफिक सिस्टम है	https://drive.google.com/uc?export=download&id=1gQDp19vrzZrnDtCpzIqnmKkrRxWvwmZl	"- The image shows a physical model of a four-way road intersection featuring a ""STOP"" barrier gate and street lighting.
- It appears to be a student-made proof-of-concept (POC) using craft materials.
- The student is demonstrating a mechanism where a physical barrier gate controls vehicle access to prevent traffic violations at signals.
- The image effectively illustrates the proposed solution of using automated gates to physically block traffic, directly supporting the stated goal of reducing intersection accidents."
