config_id,question
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Who can be a Bank Sakhi ?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,"Who are the members of the appraisal committee, and how does the committee work to recommend VGF?"
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,CMTC ke fayde?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What is the appraisal process of VGF?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What implementation mechanisms need to be in place for a Model CLF?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Who are the suggested members of the CBRM committee?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Clf vo ko apna mamber bnate smy kon kon se fee le skta hai
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,RF kya hota hai
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What is the eligibility required for CLF Manager?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,PAR कैसे कैलकुलेट करते हैं?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,VO ke OBs ka chunv kese kiya jata hai?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Aap hume ye btaye ki meeting kis tarah se karni chahiye
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Shg k members group enterprises me kon kon sa kam kr skte hai
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,"SHG साइकिल की संभावित प्रगति क्या है, साथ ही समयरेखा?"
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,किया ICRP किसी पॉलिटिकल पार्टी में रह कर या पंचायत का प्रतिनिधि होकर ICRP का कार्य कर सकते है
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,सीबीओ की वैधानिक लेखापरीक्षा का उद्देश्य क्या है?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,SHG ke 10 sutr
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,एक मॉडल CLF के लिए कौन से कार्यान्वयन तंत्र स्थापित किए जाने चाहिए?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What is the process for promoting Producer Groups?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,CBO के वैधानिक ऑडिट की प्रक्रिया क्या है?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What are the key objectives of the IFC?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What is the nature of expenditure for VGF?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Individual enterprise me kon kon sa lone lekr didi kam kr skti hI
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Vo me judne k kitne time bad group ko CIf mil skta hai or kyse
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,एसएचजी में क्रेडिट लिंकेज प्रक्रिया क्या है?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What is the timeline for statutory audit of CBO?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What are the mandatory criteria for CLF to develop the Model Cluster Level Federation?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,"Defined Roles, Responsibilities and Portfolios of Sub-committees"
0b558ecb-1cd1-4eb7-9714-a3036e0da908,"Our Soliga community and family have been doing agriculture for 20 years. Earlier we cultivated agricultural crops, now we are cultivating Coffee and Black Pepper."
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the organic manures we can use?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Which are locally available manures?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to make local compost?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to use the locally available green leaves?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to use the weeds for compost?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What types of NTFPs (Non-Timber Forest Products) are available?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What biodiversity is found in the forest areas?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What is the relationship between the community and the forest?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the traditional conservation methods?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Please mention types of medicinal plants.
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the current market prices?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Where can we sell our coffee?
