CID	Problem	Solution	Image URL	Image Summary
3	Project synopsis :- In many places, many goods are stolen from the grid like Copper plates, wires, aluminium and these goods are very expensive due to which there is a lot of loss. Dispute there has been a 24 hour security guard there, but theft happens because one security guard cannot Guard everywhere . Every item like Copper plates, wires etc are expensive and sometimes electricity is also stolen.	"We developed a system in which we will place mirrors in such a way that they can reflect the light and also place a laser light at one corner and also place a receiver in which there is an alarm which sounds when light is not received . 
 
 Because one security guard cannot Guard everywhere so, when we plays this system automatically when someone come inside from some other ways the alarm will sound and guard been alert .(https://youtu.be/gKJiCGNaAwg?si=xMmwyxQNDkwS7kD5)"	https://drive.google.com/uc?export=download&id=1Xa-_KlHb9tyFLNcFXRKQ4KylVf5kGa4c	"- The image shows a blurry, low-light view of an electronic setup.
- It appears to be a student-made Proof of Concept (POC).
- Visible components include a circuit board with indicator lights (green, yellow), wires, and bright light sources (red, blue/cyan).
- Some green, possibly triangular structures are visible in the background, which might represent the ""mirrors"" mentioned in the solution.
- The student is likely trying to convey the presence of a light source (laser) and electronic control for their proposed security system.
- The image partially supports the solution by showing active electronic components and light, but its blurriness makes it hard to identify specific elements like the laser, mirrors, or receiver clearly.
- It does not clearly demonstrate the reflection mechanism or the alarm function."
12	"The ""Bus Safety System: Protecting Kids & Pedestrians"" is an innovative solution designed to enhance safety around buses, particularly for children and other pedestrians who might be at risk when a bus is stationary. This system addresses a critical safety issue: when a bus is stopped, children or pedestrians may walk in front of the bus, potentially putting themselves in danger if the driver cannot see them. Our system utilizes simple yet effective technology to prevent such accidents and ensure a safer environment.
 Problem Statement
 When a bus stops, especially in areas where visibility is limited, children might walk in front of the bus without the driver's knowledge. This can lead to dangerous situations where the bus might accidentally move forward, potentially causing accidents. To address this problem, a reliable and responsive safety system is needed to alert both the driver and the pedestrians."	"Our solution is the ""Bus Safety System: Protecting Kids & Pedestrians,"" which aims to enhance safety around stationary buses. It uses IR sensors mounted at the front of the bus to detect the presence of pedestrians. When a pedestrian is detected, the system activates a buzzer and a red visual light to alert the driver. Simultaneously, a playback module announces a pre-recorded message, ""Please move away from the front of the bus,"" to notify pedestrians. Additionally, the system integrates with the bus’s control to prevent movement if a pedestrian is detected. This solution helps children, pedestrians, and drivers by providing clear, immediate alerts and preventing accidents. It ensures that pedestrians are aware of their proximity to the bus and prevents the bus from moving until the area is clear, thereby addressing visibility issues and enhancing overall safety."	https://drive.google.com/uc?export=download&id=1-9OqbK2PLzzqFWfsWN26Dcu2YSi3IRC-	"- The image shows a student presenting a physical prototype of the ""Bus Safety System"" on a miniature road setup.
- It appears to be a student-made Proof of Concept (POC) using a toy bus, an Arduino-like circuit board, various wires, sensors (including an IR sensor), and LEDs.
- The student is conveying the physical implementation of their solution, demonstrating how sensors detect objects/pedestrians and trigger alerts (represented by red lights on the bus) and a potential movement prevention mechanism (a barrier-like structure).
- The image effectively supports the stated problem and solution by visually representing the core components of the proposed system, such as pedestrian detection and driver/pedestrian alerts, within a miniature bus safety scenario."
30	sugarcane like crops are not easy to cut	We are making a project that can easily cut the sugarcane it helps farmers and it reduce the work load.	https://drive.google.com/uc?export=download&id=191j58_AEm7HcZddzF3iwHKU6sWFdq_LV	"- The image shows a student-made prototype of a machine, primarily constructed from cardboard.
- It appears to be a proof-of-concept (POC) model, likely built by students.
- The student is trying to convey a mechanical system featuring a corrugated cardboard conveyor belt, possibly for feeding sugarcane into a processing unit (the orange box).
- The image supports the stated problem and solution by visually representing a potential machine designed to automate or ease the process of cutting sugarcane, thereby reducing workload."
52	In some war there are some people who faces problem to kill the enemies fast by the missile truck	Our team are creating a special machine which can help soldiers to fight	https://drive.google.com/uc?export=download&id=1LZW_XZlh58_aVWJiheWNV5oZUB_hK1Rb	"- The image shows two students presenting a simple cardboard model of a truck with yellow wheels.
- This appears to be a student-made prototype or Proof of Concept (POC).
- The students are likely conveying their proposed ""special machine"" solution, which is a truck, as a means to address the problem of engaging enemies faster.
- The image provides a basic visual representation of a truck, aligning with the "
208	In hotels, hospitals, and other large facilities, drying clothes efficiently is essential due to the high volume of laundry processed daily. Typically, clothes are placed outside in the sun to dry, but sudden or unexpected rainfall leads to all of these clothes getting soaked again. This situation causes considerable inconvenience, as the entire drying process is disrupted, making it challenging to keep up with daily laundry demands. Additionally, staff are burdened with the task of constantly checking for rain and rushing to bring clothes inside, which wastes time and effort. This frequent issue results in inefficiency in laundry management, adding unnecessary delays and workload.	To address the stability and balance issues of conventional modes of transportation like bicycles and motorcycles, the development of self-balancing bikes offers a promising solution. Self-balancing bikes use advanced technologies to enhance stability and safety, making them more accessible and safer for inexperienced riders. Self-balancing bikes can use gyroscopes to detect and counteract tilts, helping to maintain balance automatically.	https://drive.google.com/uc?export=download&id=1FiTc2jhOjmKpd6lz4EwtDMC8DuwNYj42	"- The image shows a student-made model of a house with a solar panel on its roof.
- A power bank is connected to the model, suggesting it powers components within the house model.
- It appears to be a student-made proof-of-concept or diorama.
- The student might be trying to convey an idea related to solar energy integration or a smart home system, given the solar panel and power connection.
- The image does not support the stated problem (efficient clothes drying in large facilities) or the proposed solution (self-balancing bikes) as there is no visible connection between the house model and either topic."
345	Natural Farming is a multilingual half yearly publication by National Centre for Organic an Natural Farming. Articles havindirect relevance Natural Farming technology and its regulatory mechanism, development of package of practices, success stories, news related to conferences, seminars etc.	"Natural Farming can be defined as “chemical- free farming and livestock based"". Soundly grounded in agro-ecology, it is a diversified farming system that integrates crops, trees and livestock, allowing the optimum use of functional biodiversity. Natural Farming holds the promise of enhancing farmers’ income while delivering many other benefits, such as restoration of soil fertility and environmental health, and mitigating and/or reducing greenhouse gas Substantial increase in input costs has led to decline in crop income over the years. The price of urea, DAP and potash has risen by60% - 600 % in last decade. Though, per hectare real value of output increased foremost crops in recent years, but the rise in input cost was much higher, resulting into reduced farm income. Moreover, green revolution technology is now contemplated to be degrading the agro-ecosystem: and diminishing the economic returns for the farmers. Several studies have shown that chemical fertilizer and pesticides ."	https://drive.google.com/uc?export=download&id=1mt94RO0pW0LrDV_mt3hoKalDJSrb_NlR	"- The image shows a student-made diorama or model depicting two different farming approaches.
- It appears to be a student-made Proof of Concept (POC) or educational model.
- The student is conveying a comparison between conventional agriculture (labeled 'This Agriculture' on one side with an irrigation system) and 'Natural Farming' (on the other side with more diverse elements like trees and a house).
- The image supports the stated problem and solution by visually illustrating the concept of natural farming as a diversified, integrated system, contrasting it with what might represent chemical-intensive farming."
372	Nowadays thefts are very much in the society. They are robbering the homes, offices, banks etc. So controlling theft in the society.	Anti theft alram is a sensor based it detects the when theft is going to theft the materials in home iffice also in a banks.	https://drive.google.com/uc?export=download&id=1cERBmqaf7U20BQaq0IeTIHhpMPR5oFaW	"- The image displays a physical prototype of a house model, constructed from cardboard, with electronic components attached.
- It appears to be a student-made Proof of Concept (POC).
- The student is attempting to convey a visual representation of their 'Anti theft alram' solution, demonstrating its application in a building setting.
- The image effectively supports the stated problem of theft and the proposed solution of a sensor-based anti-theft alarm for homes."
713	Liquid waste can become especially challenging and hazardous when not handled effectively, as it can cause issues due to its ability to spread quickly and pollute large areas with minimal contact. Waste can occur in many forms and requires special methods of disposal to ensure safety and prevent contamination.in our socity water is polluted due to varies reason	"Root Zoning. Root zoning is a process that is used to handle liquid waste or wastewater from homes and businesses. ...
  Solidification. ...
  Composting. ...
  Sedimentation. ...
  De watering. ...
  Incineration."	https://drive.google.com/uc?export=download&id=1qFUzpMQ0ZT85VLM8W3knoYzsYAgdsvrR	"- The image shows a simple experimental setup featuring two clear plastic jars with red lids, connected by a clear tube. A student's hand is visible, pressing down on one of the jar lids. An empty clear plastic cup is also on the table.
- This appears to be a student-made Proof of Concept (POC) or a demonstration model, utilizing common household items.
- The student is likely attempting to convey a basic process of liquid transfer or a preliminary stage of liquid separation/filtration, which could be part of a liquid waste management system.
- The image broadly supports the general problem of handling liquid waste. However, it does not clearly illustrate or demonstrate any of the specific, more complex solutions (Root Zoning, Solidification, Composting, Sedimentation, De-watering, Incineration) mentioned in the proposed solution."
752	Road light project	Road light project	https://drive.google.com/uc?export=download&id=1ibkknzirZszKxN3pEUkQaBEwtRVKWsg8	"- The image shows a student presenting a tabletop prototype of a road light system.
- It appears to be a student-made Proof of Concept (POC), likely for a school project.
- The prototype features a miniature road segment with a multi-branched street light pole, connected to electronic components, wiring, and two 9V batteries.
- The student is conveying a functional model of a road light, possibly demonstrating an automated or smart lighting solution.
- The image directly supports the broad problem and solution of a 'Road light project' by providing a tangible representation of the innovation."
825	"Hydroponic farming can face a number of challenges, including: 
 High setup cost: Setting up a hydroponic system can be expensive, especially for large-scale systems. 
 Constant power supply: Hydroponic systems need electricity to run continuously. 
 Maintenance and monitoring: Growers need to be vigilant to avoid component failure. 
 Common problems: Some common problems include wilting, dead roots, system clogging, infestation, and nutrient deficiencies"	"Problem: Wilting
 
 It can be due to several factors such as less irrigation or high temperature, where the plant loses its rigidity, and leaves start drying.in our project automatic mobile controlled drip irrigation is used.this is managed from our house and controled thousands of hydroponic plants in one time .
 
  
 
 Solution: You should let your roots dry between each irrigation cycle. A backup pump should always be handy if the operating one gets fail because the plants can wilt quickly without water supply.
 
  
 
 Problem: Dead Roots
 
 There are many reasons for dead roots like high temperature of water, very high or very low EC, overwatering in dense substrates, and others. Dead roots can also be a sign of root rot pathogen infecting the system.
 
  
 
 Solution: First, you should remove the plants having dead roots and then regulate the water temperature accordingly to increase aeration. Regular cleaning and sanitization of the system can eliminate the pathogen."	https://drive.google.com/uc?export=download&id=1pWF3R1BX-la66uPGx051dNW_2hVLcHUl	"- The image shows three students presenting a small, two-tiered hydroponic prototype made from repurposed plastic containers.
- It appears to be a student-made Proof of Concept (POC) demonstrating a basic hydroponic setup.
- The students are conveying a simple, potentially low-cost approach to hydroponic farming.
- The image supports the general concept of hydroponics and indirectly suggests an attempt to address high setup costs. However, it does not visually demonstrate the proposed solutions such as 'automatic mobile controlled drip irrigation' or specific mechanisms for preventing 'wilting' or 'dead roots'."
