ts,worker,kind,status,latency_s,detail
2026-08-03T06:00:12.758778+00:00,6,stt,ok,6.981,
2026-08-03T06:00:12.830789+00:00,3,stt,ok,7.178,
2026-08-03T06:00:13.291958+00:00,81,stt,ok,5.853,
2026-08-03T06:00:13.544065+00:00,103,stt,ok,5.689,
2026-08-03T06:00:13.695483+00:00,18,stt,ok,7.667,
2026-08-03T06:00:13.764220+00:00,31,stt,ok,7.31,
2026-08-03T06:00:13.787507+00:00,76,stt,ok,6.444,
2026-08-03T06:00:13.822614+00:00,25,stt,ok,7.581,
2026-08-03T06:00:13.874751+00:00,8,stt,ok,8.055,
2026-08-03T06:00:13.935540+00:00,46,stt,ok,7.19,
2026-08-03T06:00:13.985583+00:00,9,stt,ok,8.125,
2026-08-03T06:00:14.030008+00:00,106,stt,ok,6.078,
2026-08-03T06:00:14.031729+00:00,0,stt,ok,8.423,
2026-08-03T06:00:14.077096+00:00,61,stt,ok,7.078,
2026-08-03T06:00:14.129009+00:00,10,stt,ok,8.227,
2026-08-03T06:00:14.178415+00:00,59,stt,ok,7.229,
2026-08-03T06:00:14.294788+00:00,57,stt,ok,7.39,
2026-08-03T06:00:14.350989+00:00,30,stt,ok,7.941,
2026-08-03T06:00:14.351989+00:00,43,stt,ok,7.66,
2026-08-03T06:00:14.398693+00:00,20,stt,ok,8.327,
2026-08-03T06:00:14.399873+00:00,114,stt,ok,6.261,
2026-08-03T06:00:14.400185+00:00,32,stt,ok,7.904,
2026-08-03T06:00:14.442489+00:00,33,stt,ok,7.905,
2026-08-03T06:00:14.446623+00:00,27,stt,ok,8.162,
2026-08-03T06:00:14.461217+00:00,28,stt,ok,8.093,
2026-08-03T06:00:14.509661+00:00,105,stt,ok,6.606,
2026-08-03T06:00:14.556480+00:00,77,stt,ok,7.168,
2026-08-03T06:00:14.598304+00:00,62,stt,ok,7.552,
2026-08-03T06:00:14.633224+00:00,4,stt,ok,8.939,
2026-08-03T06:00:14.762666+00:00,14,stt,ok,8.818,
2026-08-03T06:00:14.791063+00:00,91,stt,ok,7.166,
2026-08-03T06:00:14.845644+00:00,95,stt,ok,7.125,
2026-08-03T06:00:14.865686+00:00,40,stt,ok,8.241,
2026-08-03T06:00:14.913116+00:00,65,stt,ok,7.771,
2026-08-03T06:00:14.957564+00:00,54,stt,ok,8.103,
2026-08-03T06:00:15.003045+00:00,87,stt,ok,7.467,
2026-08-03T06:00:15.048043+00:00,120,stt,ok,6.766,
2026-08-03T06:00:15.049347+00:00,5,stt,ok,9.314,
2026-08-03T06:00:15.089662+00:00,109,stt,ok,7.09,
2026-08-03T06:00:15.311589+00:00,124,stt,ok,6.979,
2026-08-03T06:00:15.395593+00:00,96,stt,ok,7.631,
2026-08-03T06:00:15.444814+00:00,16,stt,ok,9.458,
2026-08-03T06:00:15.538001+00:00,82,stt,ok,8.054,
