CID	Problem	Solution	Image URL	Image Summary
3	Project synopsis :- In many places, many goods are stolen from the grid like Copper plates, wires, aluminium and these goods are very expensive due to which there is a lot of loss. Dispute there has been a 24 hour security guard there, but theft happens because one security guard cannot Guard everywhere . Every item like Copper plates, wires etc are expensive and sometimes electricity is also stolen.	"We developed a system in which we will place mirrors in such a way that they can reflect the light and also place a laser light at one corner and also place a receiver in which there is an alarm which sounds when light is not received . 
 
 Because one security guard cannot Guard everywhere so, when we plays this system automatically when someone come inside from some other ways the alarm will sound and guard been alert .(https://youtu.be/gKJiCGNaAwg?si=xMmwyxQNDkwS7kD5)"	https://drive.google.com/uc?export=download&id=1Xa-_KlHb9tyFLNcFXRKQ4KylVf5kGa4c	"- The image shows a prototype setup with various light sources, possibly including lasers and LEDs, along with wiring and electronic components.
- It appears to be a student-made proof of concept, demonstrating their innovative security system.
- The student is conveying the functionality of their system, which uses light to detect intrusions and trigger an alarm.
- The image supports the stated problem and solution by visually representing the mechanism of using light to enhance security in areas prone to theft."
12	"The ""Bus Safety System: Protecting Kids & Pedestrians"" is an innovative solution designed to enhance safety around buses, particularly for children and other pedestrians who might be at risk when a bus is stationary. This system addresses a critical safety issue: when a bus is stopped, children or pedestrians may walk in front of the bus, potentially putting themselves in danger if the driver cannot see them. Our system utilizes simple yet effective technology to prevent such accidents and ensure a safer environment.
 Problem Statement
 When a bus stops, especially in areas where visibility is limited, children might walk in front of the bus without the driver's knowledge. This can lead to dangerous situations where the bus might accidentally move forward, potentially causing accidents. To address this problem, a reliable and responsive safety system is needed to alert both the driver and the pedestrians."	"Our solution is the ""Bus Safety System: Protecting Kids & Pedestrians,"" which aims to enhance safety around stationary buses. It uses IR sensors mounted at the front of the bus to detect the presence of pedestrians. When a pedestrian is detected, the system activates a buzzer and a red visual light to alert the driver. Simultaneously, a playback module announces a pre-recorded message, ""Please move away from the front of the bus,"" to notify pedestrians. Additionally, the system integrates with the bus’s control to prevent movement if a pedestrian is detected. This solution helps children, pedestrians, and drivers by providing clear, immediate alerts and preventing accidents. It ensures that pedestrians are aware of their proximity to the bus and prevents the bus from moving until the area is clear, thereby addressing visibility issues and enhancing overall safety."	https://drive.google.com/uc?export=download&id=1-9OqbK2PLzzqFWfsWN26Dcu2YSi3IRC-	"- The image shows a student presenting a prototype of a bus safety system, featuring a model bus with visible wiring and components. 
- It appears to be a student-made proof of concept (POC), demonstrating their innovation. 
- The student is likely conveying the functionality of the system, which includes IR sensors, a buzzer, and a visual alert mechanism to enhance safety around stationary buses. 
- The image effectively supports the stated problem and solution by visually representing the proposed safety system and its components, illustrating the student's understanding of the issue and their innovative approach."
30	sugarcane like crops are not easy to cut	We are making a project that can easily cut the sugarcane it helps farmers and it reduce the work load.	https://drive.google.com/uc?export=download&id=191j58_AEm7HcZddzF3iwHKU6sWFdq_LV	"- The image shows a prototype made from cardboard, resembling a cutting mechanism for sugarcane.
- It appears to be a student-made proof of concept (POC).
- The student is conveying that this prototype can help in cutting sugarcane more easily, thus reducing the workload for farmers.
- The image supports the stated problem and solution by visually representing a potential tool designed to address the difficulty of cutting sugarcane."
52	In some war there are some people who faces problem to kill the enemies fast by the missile truck	Our team are creating a special machine which can help soldiers to fight	https://drive.google.com/uc?export=download&id=1LZW_XZlh58_aVWJiheWNV5oZUB_hK1Rb	"- The image shows two students presenting a prototype of a missile truck made from cardboard.
- The prototype appears to be student-made, showcasing their innovation.
- The students are conveying that their machine is designed to assist soldiers in combat situations by enhancing missile deployment.
- The image supports the stated problem and solution by visually representing their concept of a special machine for military use."
208	In hotels, hospitals, and other large facilities, drying clothes efficiently is essential due to the high volume of laundry processed daily. Typically, clothes are placed outside in the sun to dry, but sudden or unexpected rainfall leads to all of these clothes getting soaked again. This situation causes considerable inconvenience, as the entire drying process is disrupted, making it challenging to keep up with daily laundry demands. Additionally, staff are burdened with the task of constantly checking for rain and rushing to bring clothes inside, which wastes time and effort. This frequent issue results in inefficiency in laundry management, adding unnecessary delays and workload.	To address the stability and balance issues of conventional modes of transportation like bicycles and motorcycles, the development of self-balancing bikes offers a promising solution. Self-balancing bikes use advanced technologies to enhance stability and safety, making them more accessible and safer for inexperienced riders. Self-balancing bikes can use gyroscopes to detect and counteract tilts, helping to maintain balance automatically.	https://drive.google.com/uc?export=download&id=1FiTc2jhOjmKpd6lz4EwtDMC8DuwNYj42	"- The image shows a model of a house with a solar panel on the roof, surrounded by small trees and figurines. 
- It appears to be a student-made prototype, likely representing a solution for drying clothes efficiently. 
- The student is conveying the idea of using solar energy, possibly for a drying mechanism or to power a system that protects clothes from rain. 
- The image supports the stated problem of inefficient laundry management by suggesting a solar-powered solution, but it lacks direct representation of the drying process or rain protection features."
345	Natural Farming is a multilingual half yearly publication by National Centre for Organic an Natural Farming. Articles havindirect relevance Natural Farming technology and its regulatory mechanism, development of package of practices, success stories, news related to conferences, seminars etc.	"Natural Farming can be defined as “chemical- free farming and livestock based"". Soundly grounded in agro-ecology, it is a diversified farming system that integrates crops, trees and livestock, allowing the optimum use of functional biodiversity. Natural Farming holds the promise of enhancing farmers’ income while delivering many other benefits, such as restoration of soil fertility and environmental health, and mitigating and/or reducing greenhouse gas Substantial increase in input costs has led to decline in crop income over the years. The price of urea, DAP and potash has risen by60% - 600 % in last decade. Though, per hectare real value of output increased foremost crops in recent years, but the rise in input cost was much higher, resulting into reduced farm income. Moreover, green revolution technology is now contemplated to be degrading the agro-ecosystem: and diminishing the economic returns for the farmers. Several studies have shown that chemical fertilizer and pesticides ."	https://drive.google.com/uc?export=download&id=1mt94RO0pW0LrDV_mt3hoKalDJSrb_NlR	"- The image shows a diorama representing a natural farming setup, including crops, a house, and water management features.
- It appears to be a student-made prototype, showcasing their understanding of natural farming principles.
- The student conveys the integration of crops, livestock, and sustainable practices to enhance soil fertility and farmer income.
- The visual representation supports the stated problem by illustrating a chemical-free farming environment and the potential for improved agricultural practices."
372	Nowadays thefts are very much in the society. They are robbering the homes, offices, banks etc. So controlling theft in the society.	Anti theft alram is a sensor based it detects the when theft is going to theft the materials in home iffice also in a banks.	https://drive.google.com/uc?export=download&id=1cERBmqaf7U20BQaq0IeTIHhpMPR5oFaW	"- The image shows a prototype of an anti-theft alarm system designed as a small house model.
- It appears to be a student-made proof of concept (POC), indicating hands-on effort in creating the model.
- The student is conveying the functionality of the alarm system, likely showcasing its design and components (like sensors).
- The image supports the stated problem of theft by visually representing a potential solution, demonstrating how the system could be implemented in homes or offices."
713	Liquid waste can become especially challenging and hazardous when not handled effectively, as it can cause issues due to its ability to spread quickly and pollute large areas with minimal contact. Waste can occur in many forms and requires special methods of disposal to ensure safety and prevent contamination.in our socity water is polluted due to varies reason	"Root Zoning. Root zoning is a process that is used to handle liquid waste or wastewater from homes and businesses. ...
  Solidification. ...
  Composting. ...
  Sedimentation. ...
  De watering. ...
  Incineration."	https://drive.google.com/uc?export=download&id=1qFUzpMQ0ZT85VLM8W3knoYzsYAgdsvrR	"- The image shows a prototype setup involving two transparent containers with red lids and tubing, likely for demonstrating a liquid waste management process.
- It appears to be a student-made proof of concept, as it reflects a hands-on approach typical of school projects.
- The students seem to be conveying their method for handling liquid waste, possibly illustrating a filtration or separation process related to their proposed solution of Root Zoning.
- The image supports the stated problem and solution by visually representing a practical application of waste management techniques, although further context on the specific process being demonstrated would enhance clarity."
752	Road light project	Road light project	https://drive.google.com/uc?export=download&id=1ibkknzirZszKxN3pEUkQaBEwtRVKWsg8	"- The image shows a student presenting a prototype of a road light system.  
- The prototype appears to be a student-made proof of concept (POC).  
- The student is conveying their innovation related to traffic management or road safety through this road light project.  
- The image supports the stated problem and solution by visually demonstrating the proposed road light system, which is relevant to improving road safety."
825	"Hydroponic farming can face a number of challenges, including: 
 High setup cost: Setting up a hydroponic system can be expensive, especially for large-scale systems. 
 Constant power supply: Hydroponic systems need electricity to run continuously. 
 Maintenance and monitoring: Growers need to be vigilant to avoid component failure. 
 Common problems: Some common problems include wilting, dead roots, system clogging, infestation, and nutrient deficiencies"	"Problem: Wilting
 
 It can be due to several factors such as less irrigation or high temperature, where the plant loses its rigidity, and leaves start drying.in our project automatic mobile controlled drip irrigation is used.this is managed from our house and controled thousands of hydroponic plants in one time .
 
  
 
 Solution: You should let your roots dry between each irrigation cycle. A backup pump should always be handy if the operating one gets fail because the plants can wilt quickly without water supply.
 
  
 
 Problem: Dead Roots
 
 There are many reasons for dead roots like high temperature of water, very high or very low EC, overwatering in dense substrates, and others. Dead roots can also be a sign of root rot pathogen infecting the system.
 
  
 
 Solution: First, you should remove the plants having dead roots and then regulate the water temperature accordingly to increase aeration. Regular cleaning and sanitization of the system can eliminate the pathogen."	https://drive.google.com/uc?export=download&id=1pWF3R1BX-la66uPGx051dNW_2hVLcHUl	"- The image shows a group of three students presenting a prototype of a hydroponic system. 
- The prototype consists of two stacked containers with plants growing in the top container, connected by a tube to a lower container. 
- A water bottle is visible, likely used for irrigation. 
- The students appear to be explaining their solution to problems like wilting and dead roots in hydroponic farming. 
- The image supports the stated problem and solution by visually demonstrating an automatic drip irrigation system that they have designed, indicating practical application."
