ts,worker,kind,status,latency_s,detail
2026-08-03T06:19:25.940888+00:00,48,stt,ok,5.573,
2026-08-03T06:19:26.234803+00:00,3,stt,ok,6.69,
2026-08-03T06:19:26.483634+00:00,30,stt,ok,6.465,
2026-08-03T06:19:26.654285+00:00,54,stt,ok,6.194,
2026-08-03T06:19:26.832044+00:00,24,stt,ok,6.945,
2026-08-03T06:19:26.883472+00:00,32,stt,ok,6.777,
2026-08-03T06:19:26.931072+00:00,45,stt,ok,6.656,
2026-08-03T06:19:27.250511+00:00,2,stt,ok,7.748,
2026-08-03T06:19:27.333963+00:00,28,stt,ok,7.358,
2026-08-03T06:19:27.444582+00:00,63,stt,ok,6.89,
2026-08-03T06:19:27.513922+00:00,37,stt,ok,7.331,
2026-08-03T06:19:27.604237+00:00,56,stt,ok,7.099,
2026-08-03T06:19:27.700483+00:00,47,stt,ok,7.376,
2026-08-03T06:19:27.724036+00:00,50,stt,ok,7.313,
2026-08-03T06:19:28.016405+00:00,27,stt,ok,8.086,
2026-08-03T06:19:28.082882+00:00,31,stt,ok,8.021,
2026-08-03T06:19:28.224541+00:00,11,stt,ok,8.553,
2026-08-03T06:19:28.521498+00:00,7,stt,ok,8.935,
2026-08-03T06:19:28.737020+00:00,19,stt,ok,8.936,
2026-08-03T06:19:28.784737+00:00,12,stt,ok,9.071,
2026-08-03T06:19:29.368017+00:00,44,stt,ok,9.137,
2026-08-03T06:19:29.696323+00:00,23,stt,ok,9.852,
2026-08-03T06:19:29.878648+00:00,16,stt,ok,10.121,
2026-08-03T06:19:30.570718+00:00,8,stt,ok,10.943,
2026-08-03T06:19:30.961492+00:00,1,stt,ok,11.502,
2026-08-03T06:19:32.877130+00:00,20,tts,ok,13.035,
2026-08-03T06:19:33.215638+00:00,52,tts,ok,12.758,
2026-08-03T06:19:33.281637+00:00,22,tts,ok,13.438,
2026-08-03T06:19:33.710071+00:00,32,stt,ok,6.827,
2026-08-03T06:19:33.987854+00:00,3,stt,ok,7.753,
2026-08-03T06:19:34.160619+00:00,54,stt,ok,7.506,
2026-08-03T06:19:34.424967+00:00,45,stt,ok,7.494,
2026-08-03T06:19:34.516767+00:00,25,tts,ok,14.587,
2026-08-03T06:19:34.532369+00:00,31,stt,ok,6.449,
2026-08-03T06:19:34.565491+00:00,46,tts,ok,14.244,
2026-08-03T06:19:34.958214+00:00,59,tts,ok,14.406,
2026-08-03T06:19:35.153132+00:00,24,stt,ok,8.321,
2026-08-03T06:19:35.182452+00:00,35,tts,ok,15.007,
2026-08-03T06:19:35.413708+00:00,27,stt,ok,7.397,
2026-08-03T06:19:35.525026+00:00,30,stt,ok,9.041,
2026-08-03T06:19:35.535557+00:00,12,stt,ok,6.751,
2026-08-03T06:19:35.612971+00:00,29,tts,ok,15.595,
2026-08-03T06:19:35.665501+00:00,63,stt,ok,8.221,
2026-08-03T06:19:36.293814+00:00,43,tts,ok,16.063,
2026-08-03T06:19:36.989654+00:00,26,tts,ok,17.06,
2026-08-03T06:19:37.244474+00:00,6,tts,ok,17.658,
2026-08-03T06:19:37.275909+00:00,10,tts,ok,17.605,
2026-08-03T06:19:37.468975+00:00,13,tts,ok,17.712,
2026-08-03T06:19:38.045479+00:00,8,stt,ok,7.475,
2026-08-03T06:19:38.682901+00:00,42,tts,ok,18.452,
2026-08-03T06:19:38.872778+00:00,53,tts,ok,18.413,
2026-08-03T06:19:38.993130+00:00,18,tts,ok,19.193,
2026-08-03T06:19:39.319095+00:00,22,stt,ok,6.037,
2026-08-03T06:19:39.718796+00:00,16,stt,ok,9.84,
2026-08-03T06:19:39.888679+00:00,5,tts,ok,20.302,
2026-08-03T06:19:39.948034+00:00,60,tts,ok,19.395,
2026-08-03T06:19:40.012638+00:00,15,tts,ok,20.255,
2026-08-03T06:19:40.020212+00:00,52,stt,ok,6.805,
2026-08-03T06:19:40.456474+00:00,41,tts,ok,20.226,
2026-08-03T06:19:40.507578+00:00,35,stt,ok,5.325,
2026-08-03T06:19:40.610904+00:00,45,stt,ok,6.186,
2026-08-03T06:19:40.884878+00:00,0,tts,ok,21.426,
2026-08-03T06:19:41.187032+00:00,61,tts,ok,20.633,
2026-08-03T06:19:41.259050+00:00,14,tts,ok,21.502,
2026-08-03T06:19:41.403395+00:00,34,tts,ok,21.235,
2026-08-03T06:19:41.525971+00:00,9,tts,ok,21.855,
2026-08-03T06:19:41.748675+00:00,59,stt,ok,6.79,
2026-08-03T06:19:42.001291+00:00,23,stt,ok,12.305,
2026-08-03T06:19:42.055513+00:00,48,tts,ok,16.114,
2026-08-03T06:19:42.449191+00:00,20,stt,ok,9.572,
2026-08-03T06:19:42.523863+00:00,38,tts,ok,22.295,
2026-08-03T06:19:42.611262+00:00,44,tts,ok,13.243,
2026-08-03T06:19:42.774732+00:00,12,stt,ok,7.239,
2026-08-03T06:19:43.447250+00:00,63,stt,ok,7.782,
2026-08-03T06:19:43.465501+00:00,10,stt,ok,6.19,
2026-08-03T06:19:44.316846+00:00,17,tts,ok,24.517,
2026-08-03T06:19:45.044446+00:00,5,stt,ok,5.156,
2026-08-03T06:19:45.173527+00:00,50,tts,ok,17.449,
2026-08-03T06:19:45.201892+00:00,2,tts,ok,17.951,
2026-08-03T06:19:45.340629+00:00,47,tts,ok,17.64,
2026-08-03T06:19:45.582196+00:00,40,tts,ok,25.352,
2026-08-03T06:19:45.920026+00:00,13,stt,ok,8.451,
2026-08-03T06:19:45.997689+00:00,7,tts,ok,17.476,
2026-08-03T06:19:46.492287+00:00,52,stt,ok,6.472,
2026-08-03T06:19:46.874416+00:00,16,stt,ok,7.156,
2026-08-03T06:19:47.879734+00:00,8,stt,ok,9.834,
2026-08-03T06:19:48.086358+00:00,21,tts,ok,28.244,
2026-08-03T06:19:48.307272+00:00,9,stt,ok,6.781,
2026-08-03T06:19:48.319256+00:00,23,stt,ok,6.318,
2026-08-03T06:19:48.826729+00:00,48,stt,ok,6.771,
2026-08-03T06:19:49.007605+00:00,25,tts,ok,14.491,
2026-08-03T06:19:49.031606+00:00,44,stt,ok,6.42,
2026-08-03T06:19:49.093499+00:00,35,stt,ok,8.586,
2026-08-03T06:19:49.216458+00:00,0,stt,ok,8.332,
2026-08-03T06:19:49.245930+00:00,1,tts,ok,18.284,
2026-08-03T06:19:49.356200+00:00,32,tts,ok,15.646,
2026-08-03T06:19:49.860126+00:00,11,tts,ok,21.636,
2026-08-03T06:19:49.934140+00:00,36,tts,ok,29.755,
2026-08-03T06:19:50.052917+00:00,61,stt,ok,8.866,
2026-08-03T06:19:50.791399+00:00,29,tts,ok,15.178,
2026-08-03T06:19:51.108529+00:00,62,tts,ok,30.555,
2026-08-03T06:19:51.512603+00:00,60,tts,ok,11.565,
2026-08-03T06:19:51.706876+00:00,19,tts,ok,22.97,
2026-08-03T06:19:52.070769+00:00,43,tts,ok,15.777,
2026-08-03T06:19:52.591569+00:00,10,stt,ok,9.126,
2026-08-03T06:19:52.633067+00:00,27,tts,ok,17.219,
2026-08-03T06:19:52.996215+00:00,17,stt,ok,8.679,
2026-08-03T06:19:53.429929+00:00,14,stt,ok,12.171,
2026-08-03T06:19:54.032339+00:00,6,tts,ok,16.788,
2026-08-03T06:19:54.597378+00:00,16,stt,ok,7.723,
2026-08-03T06:19:55.091046+00:00,21,stt,ok,7.005,
2026-08-03T06:19:55.102959+00:00,26,tts,ok,18.113,
2026-08-03T06:19:55.335832+00:00,23,stt,ok,7.016,
2026-08-03T06:19:55.387253+00:00,13,stt,ok,9.467,
2026-08-03T06:19:55.706932+00:00,34,tts,ok,14.304,
2026-08-03T06:19:56.082914+00:00,59,tts,ok,14.334,
2026-08-03T06:19:56.441517+00:00,28,tts,ok,29.108,
2026-08-03T06:19:56.586240+00:00,45,tts,ok,15.975,
2026-08-03T06:19:56.627692+00:00,41,tts,ok,16.171,
2026-08-03T06:19:56.731875+00:00,48,stt,ok,7.905,
2026-08-03T06:19:56.857245+00:00,51,tts,ok,36.404,
2026-08-03T06:19:56.944254+00:00,53,tts,ok,18.071,
2026-08-03T06:19:56.958650+00:00,39,tts,ok,36.729,
2026-08-03T06:19:57.211239+00:00,35,stt,ok,8.118,
2026-08-03T06:19:57.293746+00:00,15,tts,ok,17.281,
2026-08-03T06:19:57.350456+00:00,37,tts,ok,29.837,
2026-08-03T06:19:57.452234+00:00,18,tts,ok,18.459,
2026-08-03T06:19:57.499498+00:00,1,stt,ok,8.254,
2026-08-03T06:19:57.563673+00:00,57,tts,ok,37.013,
2026-08-03T06:19:57.821491+00:00,5,tts,ok,12.777,
2026-08-03T06:19:58.839922+00:00,20,tts,ok,16.391,
2026-08-03T06:19:58.942845+00:00,11,stt,ok,9.083,
2026-08-03T06:19:59.148023+00:00,17,stt,ok,6.152,
2026-08-03T06:19:59.201218+00:00,62,stt,ok,8.093,
2026-08-03T06:19:59.256148+00:00,24,tts,ok,24.103,
2026-08-03T06:19:59.357943+00:00,12,tts,ok,16.583,
2026-08-03T06:19:59.488121+00:00,2,tts,ok,14.286,
2026-08-03T06:19:59.643556+00:00,36,stt,ok,9.709,
2026-08-03T06:19:59.830669+00:00,27,stt,ok,7.198,
2026-08-03T06:20:00.100004+00:00,38,tts,ok,17.576,
2026-08-03T06:20:00.236117+00:00,40,tts,ok,14.654,
2026-08-03T06:20:00.422400+00:00,54,tts,ok,26.262,
2026-08-03T06:20:00.850263+00:00,6,stt,ok,6.818,
2026-08-03T06:20:01.092390+00:00,46,tts,ok,26.527,
2026-08-03T06:20:01.506035+00:00,16,stt,ok,6.909,
2026-08-03T06:20:02.066978+00:00,47,tts,ok,16.726,
2026-08-03T06:20:02.673889+00:00,23,stt,ok,7.338,
2026-08-03T06:20:02.940357+00:00,52,tts,ok,16.448,
2026-08-03T06:20:03.345723+00:00,7,tts,ok,17.348,
2026-08-03T06:20:03.512282+00:00,44,tts,ok,14.481,
2026-08-03T06:20:03.679259+00:00,32,tts,ok,14.323,
2026-08-03T06:20:03.799039+00:00,13,stt,ok,8.412,
2026-08-03T06:20:04.023903+00:00,15,stt,ok,6.73,
2026-08-03T06:20:04.393140+00:00,55,tts,ok,43.889,
2026-08-03T06:20:04.475926+00:00,5,stt,ok,6.654,
2026-08-03T06:20:04.863894+00:00,24,stt,ok,5.608,
2026-08-03T06:20:05.075224+00:00,25,tts,ok,16.068,
2026-08-03T06:20:05.379239+00:00,35,stt,ok,8.168,
2026-08-03T06:20:05.743173+00:00,1,stt,ok,8.244,
2026-08-03T06:20:06.006488+00:00,4,tts,ok,46.421,
2026-08-03T06:20:06.205183+00:00,33,tts,ok,46.041,
2026-08-03T06:20:06.451620+00:00,8,tts,ok,18.572,
2026-08-03T06:20:06.509933+00:00,58,tts,ok,45.959,
2026-08-03T06:20:06.564682+00:00,43,tts,ok,14.494,
2026-08-03T06:20:06.582567+00:00,17,stt,ok,7.435,
2026-08-03T06:20:06.641110+00:00,62,stt,ok,7.44,
