custom_id,novelty,usefulness,feasibility,scalability,sustainability
3,4,5,6,6,5
12,6,8,7,6,7
30,2,4,5,3,2
52,1,1,1,1,1
208,1,1,4,2,3
345,3,6,5,6,8
372,3,5,6,5,4
713,3,5,6,5,6
752,1,1,1,1,1
825,6,7,6,6,7
876,5,7,6,7,8
940,4,7,8,7,8
950,5,7,7,6,6
1827,6,8,6,7,7
2428,5,6,7,6,7
2535,6,8,7,8,9
2539,5,7,6,7,6
2821,6,8,7,6,7
5947,6,8,7,6,7
6869,4,6,7,6,5
7766,6,8,7,6,7
9468,5,7,8,7,6
9686,4,6,6,7,8
10951,5,7,6,5,6
12185,5,8,6,6,7
12810,6,7,7,6,8
14477,4,6,5,4,6
6709,7,8,7,6,5
7334,5,7,7,5,6
20713,1,2,2,1,2
20893,7,8,6,7,9
35402,5,7,6,6,7
37069,6,7,5,6,7
40769,2,3,4,3,5
43321,5,7,8,6,7
44236,2,3,4,3,3
47368,6,7,6,5,7
48888,4,6,7,6,5
49180,5,7,6,6,7
65354,4,6,5,6,5
17191,5,7,6,6,8
17734,5,7,6,5,6
25907,7,8,7,6,7
28490,3,5,4,3,4
30301,5,6,4,5,4
36500,6,8,7,6,7
36574,5,6,7,6,6
38690,3,5,5,4,3
40862,5,6,7,6,5
41019,5,7,6,7,6
43231,5,7,6,5,6
45689,5,6,7,6,7
61924,5,7,6,7,8
2169,1,1,1,1,1
2692,3,4,6,5,4
5576,5,7,6,6,7
6606,2,4,3,2,3
8527,4,5,6,6,5
8698,7,8,6,7,7
9679,3,4,5,6,5
10064,1,1,1,1,1
10990,1,2,3,2,2
20669,2,4,5,5,4
24811,2,4,3,2,5
25223,5,7,6,5,6
27837,5,6,7,6,7
4328,6,8,7,6,7
5518,6,7,8,7,8
6543,7,8,6,7,8
7603,5,7,6,7,6
8240,5,7,6,6,5
9064,7,8,6,8,9
9327,6,7,7,5,6
9638,7,8,6,7,8
10250,4,5,5,6,7
10358,4,7,6,5,7
10511,6,8,7,8,9
10533,5,6,5,6,7
10966,7,8,6,7,8
2113,3,5,7,6,8
9054,6,8,7,6,7
10367,3,6,5,4,5
45710,5,7,6,6,5
100754,6,8,7,7,8
97800,4,7,6,5,6
28685,5,7,6,7,6
6934,5,7,6,7,6
