config_id,question
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What is the capital of France?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Explain quantum computing in simple terms
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How does photosynthesis work?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the benefits of regular exercise?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Describe the process of making coffee
a1b2c3d4-5e6f-7890-abcd-ef1234567890,Tell me a short story about a robot
a1b2c3d4-5e6f-7890-abcd-ef1234567890,What is machine learning?
a1b2c3d4-5e6f-7890-abcd-ef1234567890,How do you make pizza dough?
a1b2c3d4-5e6f-7890-abcd-ef1234567890,Explain blockchain technology
a1b2c3d4-5e6f-7890-abcd-ef1234567890,What is the meaning of artificial intelligence?
